"","Site","Station","Parametre"
"85","BV Pin Sec","PZPS / PIN-SEC_0003","Mg_f0.45um"
"86","BV Pin Sec","PZPS / PIN-SEC_0003","Mn_f0.45um"
"87","BV Pin Sec","PZPS / PIN-SEC_0003","Na_f0.45um"
"88","BV Pin Sec","PZPS / PIN-SEC_0003","Ni_f0.45um"
"89","BV Pin Sec","PZPS / PIN-SEC_0003","P_f0.45um"
"90","BV Pin Sec","PZPS / PIN-SEC_0003","Sr_f0.45um"
"91","BV Pin Sec","PZPS / PIN-SEC_0003","Zn_f0.45um"
"92","BV Pin Sec","PZPS / PIN-SEC_0003","Si_f0.45um"
"93","BV Pin Sec","PZPS / PIN-SEC_0003","B"
"94","BV Pin Sec","PZPS / PIN-SEC_0003","Ba"
"95","BV Pin Sec","PZPS / PIN-SEC_0003","Ca"
"96","BV Pin Sec","PZPS / PIN-SEC_0003","Co"
"97","BV Pin Sec","PZPS / PIN-SEC_0003","Cu"
"98","BV Pin Sec","PZPS / PIN-SEC_0003","Fe"
"99","BV Pin Sec","PZPS / PIN-SEC_0003","K"
"100","BV Pin Sec","PZPS / PIN-SEC_0003","Li"
"101","BV Pin Sec","PZPS / PIN-SEC_0003","Mg"
"102","BV Pin Sec","PZPS / PIN-SEC_0003","Mn"
"103","BV Pin Sec","PZPS / PIN-SEC_0003","Na"
"104","BV Pin Sec","PZPS / PIN-SEC_0003","Ni"
"105","BV Pin Sec","PZPS / PIN-SEC_0003","Phosphore total"
"106","BV Pin Sec","PZPS / PIN-SEC_0003","Sr"
"107","BV Pin Sec","PZPS / PIN-SEC_0003","Zn"
"108","BV Pin Sec","PZCS / PIN-SEC_0009","Chlorures"
"109","BV Pin Sec","PZCS / PIN-SEC_0009","F"
"110","BV Pin Sec","PZCS / PIN-SEC_0009","MES"
"111","BV Pin Sec","PZCS / PIN-SEC_0009","DCO sur échantillon homogène"
"112","BV Pin Sec","PZGO / PIN-SEC_0010","Br"
"113","BV Pin Sec","PZGO / PIN-SEC_0010","Chlorures"
"114","BV Pin Sec","PZGO / PIN-SEC_0010","F"
"115","BV Pin Sec","PZGO / PIN-SEC_0010","MES"
"116","BV Pin Sec","PZGO / PIN-SEC_0010","DCO sur échantillon homogène"
"117","BV Pin Sec","PZCS / PIN-SEC_0009","Br"
"118","BV Pin Sec","PZPS / PIN-SEC_0003","DCO sur échantillon homogène"
"119","BV Pin Sec","PZPS / PIN-SEC_0003","MES"
"120","BV Pin Sec","PZPS / PIN-SEC_0003","F"
"121","BV Pin Sec","PZPS / PIN-SEC_0003","Chlorures"
"122","BV Pin Sec","PZPS / PIN-SEC_0003","Br"
"123","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","B_f0.45um"
"124","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Ba_f0.45um"
"125","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Ca_f0.45um"
"126","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Co_f0.45um"
"127","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Cu_f0.45um"
"128","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Fe_f0.45um"
"129","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","K_f0.45um"
"130","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Li_f0.45um"
"131","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Mg_f0.45um"
"132","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Mn_f0.45um"
"133","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Na_f0.45um"
"134","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Ni_f0.45um"
"135","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","P_f0.45um"
"136","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Sr_f0.45um"
"137","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Zn_f0.45um"
"138","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Si_f0.45um"
"139","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","B"
"140","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Ba"
"141","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Ca"
"142","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Co"
"143","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Cu"
"144","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Fe"
"145","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","K"
"146","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Li"
"147","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Mg"
"148","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Mn"
"149","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Na"
"150","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Ni"
"151","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Phosphore total"
"152","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Sr"
"153","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Zn"
"154","BV Pin Sec","EU_Than / PIN-SEC_0046","B_f0.45um"
"155","BV Pin Sec","EU_Than / PIN-SEC_0046","Ba_f0.45um"
"156","BV Pin Sec","EU_Than / PIN-SEC_0046","Ca_f0.45um"
"157","BV Pin Sec","EU_Than / PIN-SEC_0046","Co_f0.45um"
"158","BV Pin Sec","EU_Than / PIN-SEC_0046","Cu_f0.45um"
"159","BV Pin Sec","EU_Than / PIN-SEC_0046","Fe_f0.45um"
"160","BV Pin Sec","EU_Than / PIN-SEC_0046","K_f0.45um"
"161","BV Pin Sec","EU_Than / PIN-SEC_0046","Li_f0.45um"
"162","BV Pin Sec","EU_Than / PIN-SEC_0046","Mg_f0.45um"
"163","BV Pin Sec","EU_Than / PIN-SEC_0046","Mn_f0.45um"
"164","BV Pin Sec","EU_Than / PIN-SEC_0046","Na_f0.45um"
"165","BV Pin Sec","EU_Than / PIN-SEC_0046","Ni_f0.45um"
"166","BV Pin Sec","EU_Than / PIN-SEC_0046","P_f0.45um"
"167","BV Pin Sec","EU_Than / PIN-SEC_0046","Sr_f0.45um"
"168","BV Pin Sec","EU_Than / PIN-SEC_0046","Zn_f0.45um"
"169","BV Pin Sec","EU_Than / PIN-SEC_0046","Si_f0.45um"
"170","BV Pin Sec","EU_Than / PIN-SEC_0046","B"
"171","BV Pin Sec","EU_Than / PIN-SEC_0046","Ba"
"172","BV Pin Sec","EU_Than / PIN-SEC_0046","Ca"
"173","BV Pin Sec","EU_Than / PIN-SEC_0046","Co"
"174","BV Pin Sec","EU_Than / PIN-SEC_0046","Cu"
"175","BV Pin Sec","EU_Than / PIN-SEC_0046","Fe"
"176","BV Pin Sec","EU_Than / PIN-SEC_0046","K"
"177","BV Pin Sec","EU_Than / PIN-SEC_0046","Li"
"178","BV Pin Sec","EU_Than / PIN-SEC_0046","Mg"
"179","BV Pin Sec","EU_Than / PIN-SEC_0046","Mn"
"180","BV Pin Sec","EU_Than / PIN-SEC_0046","Na"
"181","BV Pin Sec","EU_Than / PIN-SEC_0046","Ni"
"182","BV Pin Sec","EU_Than / PIN-SEC_0046","Phosphore total"
"183","BV Pin Sec","EU_Than / PIN-SEC_0046","Sr"
"184","BV Pin Sec","EU_Than / PIN-SEC_0046","Zn"
"185","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","B_f0.45um"
"186","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Ba_f0.45um"
"187","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Ca_f0.45um"
"188","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Co_f0.45um"
"189","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Cu_f0.45um"
"190","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Fe_f0.45um"
"191","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","K_f0.45um"
"192","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Li_f0.45um"
"193","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Mg_f0.45um"
"194","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Mn_f0.45um"
"195","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Na_f0.45um"
"196","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Ni_f0.45um"
"197","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","P_f0.45um"
"198","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Sr_f0.45um"
"199","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Zn_f0.45um"
"200","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Si_f0.45um"
"201","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","B"
"202","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Ba"
"203","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Ca"
"204","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Co"
"205","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Cu"
"206","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Fe"
"207","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","K"
"208","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Li"
"209","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Mg"
"210","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Mn"
"211","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Na"
"212","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Ni"
"213","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Phosphore total"
"214","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Sr"
"215","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Zn"
"216","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","B_f0.45um"
"217","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Ba_f0.45um"
"218","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Ca_f0.45um"
"219","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Co_f0.45um"
"220","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Cu_f0.45um"
"221","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Fe_f0.45um"
"222","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","K_f0.45um"
"223","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Li_f0.45um"
"224","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Mg_f0.45um"
"225","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Mn_f0.45um"
"226","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Na_f0.45um"
"227","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Ni_f0.45um"
"228","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","P_f0.45um"
"229","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Sr_f0.45um"
"230","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Zn_f0.45um"
"231","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Si_f0.45um"
"232","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","B"
"233","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Ba"
"234","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Ca"
"235","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Co"
"236","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Cu"
"237","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Fe"
"238","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","K"
"239","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Li"
"240","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Mg"
"241","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Mn"
"242","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Na"
"243","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Ni"
"244","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Phosphore total"
"245","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Sr"
"246","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Zn"
"247","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","B_f0.45um"
"248","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Ba_f0.45um"
"249","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Ca_f0.45um"
