"","Site","Station","Parametre"
"1890","Prairie de Mauves","PZ7 / PDM_0007","Cr"
"1891","Prairie de Mauves","PZ7 / PDM_0007","Cu"
"1892","Prairie de Mauves","PZ7 / PDM_0007","Fe"
"1893","Prairie de Mauves","PZ7 / PDM_0007","Mg"
"1894","Prairie de Mauves","PZ7 / PDM_0007","Mn"
"1895","Prairie de Mauves","PZ7 / PDM_0007","Na"
"1896","Prairie de Mauves","PZ7 / PDM_0007","Pb"
"1897","Prairie de Mauves","PZ7 / PDM_0007","Se"
"1898","Prairie de Mauves","PZ7 / PDM_0007","V"
"1899","Prairie de Mauves","PZ7 / PDM_0007","Zn"
"1900","Prairie de Mauves","Puits 2 / PDM_0017","As_f0.45um"
"1901","Prairie de Mauves","Puits 2 / PDM_0017","B_f0.45um"
"1902","Prairie de Mauves","Puits 2 / PDM_0017","Ba_f0.45um"
"1903","Prairie de Mauves","Puits 2 / PDM_0017","Ca_f0.45um"
"1904","Prairie de Mauves","Puits 2 / PDM_0017","Cd_f0.45um"
"1905","Prairie de Mauves","Puits 2 / PDM_0017","Co_f0.45um"
"1906","Prairie de Mauves","Puits 2 / PDM_0017","Cr_f0.45um"
"1907","Prairie de Mauves","Puits 2 / PDM_0017","Cu_f0.45um"
"1908","Prairie de Mauves","Puits 2 / PDM_0017","K_f0.45um"
"1909","Prairie de Mauves","Puits 2 / PDM_0017","Mn_f0.45um"
"1910","Prairie de Mauves","Puits 2 / PDM_0017","Na_f0.45um"
"1911","Prairie de Mauves","Puits 2 / PDM_0017","Ni_f0.45um"
"1912","Prairie de Mauves","Puits 2 / PDM_0017","Pb_f0.45um"
"1913","Prairie de Mauves","Puits 2 / PDM_0017","Se_f0.45um"
"1914","Prairie de Mauves","Puits 2 / PDM_0017","Si_f0.45um"
"1915","Prairie de Mauves","Puits 2 / PDM_0017","V_f0.45um"
"1916","Prairie de Mauves","Puits 2 / PDM_0017","As"
"1917","Prairie de Mauves","Puits 2 / PDM_0017","Ba"
"1918","Prairie de Mauves","Puits 2 / PDM_0017","Cd"
"1919","Prairie de Mauves","Puits 2 / PDM_0017","Co"
"1920","Prairie de Mauves","Puits 2 / PDM_0017","Cu"
"1921","Prairie de Mauves","Puits 2 / PDM_0017","Fe"
"1922","Prairie de Mauves","Puits 2 / PDM_0017","Mg"
"1923","Prairie de Mauves","Puits 2 / PDM_0017","Se"
"1924","Prairie de Mauves","Puits 2 / PDM_0017","V"
"1925","Prairie de Mauves","Puits 2 / PDM_0017","Zn"
"1926","Prairie de Mauves","PZ5 / PDM_0005","Zn"
"1927","Prairie de Mauves","PZ5 / PDM_0005","V"
"1928","Prairie de Mauves","PZ5 / PDM_0005","Ni"
"1929","Prairie de Mauves","PZ5 / PDM_0005","Mn"
"1930","Prairie de Mauves","PZ5 / PDM_0005","Fe"
"1931","Prairie de Mauves","PZ5 / PDM_0005","Cu"
"1932","Prairie de Mauves","PZ5 / PDM_0005","Cr"
"1933","Prairie de Mauves","PZ5 / PDM_0005","Co"
"1934","Prairie de Mauves","PZ5 / PDM_0005","Ba"
"1935","Prairie de Mauves","PZ5 / PDM_0005","Zn_f0.45um"
"1936","Prairie de Mauves","PZ5 / PDM_0005","V_f0.45um"
"1937","Prairie de Mauves","PZ5 / PDM_0005","Si_f0.45um"
"1938","Prairie de Mauves","PZ5 / PDM_0005","Pb_f0.45um"
"1939","Prairie de Mauves","PZ5 / PDM_0005","Ni_f0.45um"
"1940","Prairie de Mauves","PZ5 / PDM_0005","Fe_f0.45um"
"1941","Prairie de Mauves","PZ5 / PDM_0005","Cr_f0.45um"
"1942","Prairie de Mauves","PZ5 / PDM_0005","Ba_f0.45um"
"1943","Prairie de Mauves","PZ5 / PDM_0005","B_f0.45um"
"1944","Prairie de Mauves","PZ7 / PDM_0007","Al_f0.45um"
"1945","Prairie de Mauves","Puits 2 / PDM_0017","pH_insitu"
"1946","Prairie de Mauves","Puits 2 / PDM_0017","EC_25C_insitu"
"1947","Prairie de Mauves","PZ5 / PDM_0005","EC_25C_insitu"
"1948","Prairie de Mauves","PZ7 / PDM_0007","EC_25C_insitu"
"1949","Prairie de Mauves","PZ7 / PDM_0007","pH_insitu"
"1950","Prairie de Mauves","PZ9bis / PDM_0009","As_f0.45um"
"1951","Prairie de Mauves","PZ9bis / PDM_0009","B_f0.45um"
"1952","Prairie de Mauves","PZ9bis / PDM_0009","Ba_f0.45um"
"1953","Prairie de Mauves","PZ9bis / PDM_0009","Ca_f0.45um"
"1954","Prairie de Mauves","PZ9bis / PDM_0009","Cd_f0.45um"
"1955","Prairie de Mauves","PZ9bis / PDM_0009","Co_f0.45um"
"1956","Prairie de Mauves","PZ9bis / PDM_0009","Cr_f0.45um"
"1957","Prairie de Mauves","PZ9bis / PDM_0009","Cu_f0.45um"
"1958","Prairie de Mauves","PZ9bis / PDM_0009","Fe_f0.45um"
"1959","Prairie de Mauves","PZ9bis / PDM_0009","K_f0.45um"
"1960","Prairie de Mauves","PZ9bis / PDM_0009","Mg_f0.45um"
"1961","Prairie de Mauves","PZ9bis / PDM_0009","Mn_f0.45um"
"1962","Prairie de Mauves","PZ9bis / PDM_0009","Na_f0.45um"
"1963","Prairie de Mauves","PZ9bis / PDM_0009","Ni_f0.45um"
"1964","Prairie de Mauves","PZ9bis / PDM_0009","P_f0.45um"
"1965","Prairie de Mauves","PZ9bis / PDM_0009","Pb_f0.45um"
"1966","Prairie de Mauves","PZ9bis / PDM_0009","Se_f0.45um"
"1967","Prairie de Mauves","PZ9bis / PDM_0009","Si_f0.45um"
"1968","Prairie de Mauves","PZ9bis / PDM_0009","V_f0.45um"
"1969","Prairie de Mauves","PZ9bis / PDM_0009","Zn_f0.45um"
"1970","Prairie de Mauves","PZ9bis / PDM_0009","Al"
"1971","Prairie de Mauves","PZ9bis / PDM_0009","As"
"1972","Prairie de Mauves","PZ9bis / PDM_0009","B"
"1973","Prairie de Mauves","PZ9bis / PDM_0009","Ba"
"1974","Prairie de Mauves","PZ9bis / PDM_0009","Ca"
"1975","Prairie de Mauves","PZ9bis / PDM_0009","Cd"
"1976","Prairie de Mauves","PZ9bis / PDM_0009","Co"
"1977","Prairie de Mauves","PZ9bis / PDM_0009","Cr"
"1978","Prairie de Mauves","PZ9bis / PDM_0009","Cu"
"1979","Prairie de Mauves","PZ9bis / PDM_0009","Fe"
"1980","Prairie de Mauves","PZ9bis / PDM_0009","K"
"1981","Prairie de Mauves","PZ9bis / PDM_0009","Mg"
"1982","Prairie de Mauves","PZ9bis / PDM_0009","Mn"
"1983","Prairie de Mauves","PZ9bis / PDM_0009","Na"
"1984","Prairie de Mauves","PZ9bis / PDM_0009","Ni"
"1985","Prairie de Mauves","PZ9bis / PDM_0009","Pb"
"1986","Prairie de Mauves","PZ9bis / PDM_0009","Se"
"1987","Prairie de Mauves","PZ9bis / PDM_0009","V"
"1988","Prairie de Mauves","PZ9bis / PDM_0009","Zn"
"1989","Prairie de Mauves","PZ9bis / PDM_0009","pH_insitu"
"1990","Prairie de Mauves","PZ9bis / PDM_0009","EC_25C_insitu"
"1991","Prairie de Mauves","PZ9bis / PDM_0009","Al_f0.45um"
"1992","Prairie de Mauves","PZ9bis / PDM_0009","Se_sol"
"1993","Prairie de Mauves","PZ9bis / PDM_0009","Pb_sol"
"1994","Prairie de Mauves","PZ9bis / PDM_0009","P_sol"
"1995","Prairie de Mauves","PZ9bis / PDM_0009","Ni_sol"
"1996","Prairie de Mauves","PZ9bis / PDM_0009","Na_sol"
"1997","Prairie de Mauves","PZ9bis / PDM_0009","Mn_sol"
"1998","Prairie de Mauves","PZ9bis / PDM_0009","Mg_sol"
"1999","Prairie de Mauves","PZ9bis / PDM_0009","K_sol"
"2000","Prairie de Mauves","PZ9bis / PDM_0009","Fe_sol"
"2001","Prairie de Mauves","PZ9bis / PDM_0009","Cu_sol"
"2002","Prairie de Mauves","PZ9bis / PDM_0009","Cr_sol"
"2003","Prairie de Mauves","PZ9bis / PDM_0009","Co_sol"
"2004","Prairie de Mauves","PZ9bis / PDM_0009","Cd_sol"
"2005","Prairie de Mauves","PZ9bis / PDM_0009","Ca_sol"
"2006","Prairie de Mauves","PZ9bis / PDM_0009","Ba_sol"
"2007","Prairie de Mauves","PZ9bis / PDM_0009","B_sol"
"2008","Prairie de Mauves","PZ9bis / PDM_0009","As_sol"
"2009","Prairie de Mauves","PZ9bis / PDM_0009","Al_sol"
"2010","Prairie de Mauves","PZ7 / PDM_0007","Al_sol"
"2011","Prairie de Mauves","PZ7 / PDM_0007","As_sol"
"2012","Prairie de Mauves","PZ7 / PDM_0007","B_sol"
"2013","Prairie de Mauves","PZ7 / PDM_0007","Ba_sol"
"2014","Prairie de Mauves","PZ7 / PDM_0007","Ca_sol"
"2015","Prairie de Mauves","PZ7 / PDM_0007","Cd_sol"
"2016","Prairie de Mauves","PZ7 / PDM_0007","Co_sol"
"2017","Prairie de Mauves","PZ7 / PDM_0007","Cr_sol"
"2018","Prairie de Mauves","PZ7 / PDM_0007","Cu_sol"
"2019","Prairie de Mauves","PZ7 / PDM_0007","Fe_sol"
"2020","Prairie de Mauves","PZ7 / PDM_0007","K_sol"
"2021","Prairie de Mauves","PZ7 / PDM_0007","Mg_sol"
"2022","Prairie de Mauves","PZ7 / PDM_0007","Mn_sol"
"2023","Prairie de Mauves","PZ7 / PDM_0007","Na_sol"
"2024","Prairie de Mauves","PZ7 / PDM_0007","Ni_sol"
"2025","Prairie de Mauves","PZ7 / PDM_0007","P_sol"
"2026","Prairie de Mauves","PZ7 / PDM_0007","Pb_sol"
"2027","Prairie de Mauves","PZ7 / PDM_0007","Se_sol"
"2028","Prairie de Mauves","PZ7 / PDM_0007","Zn_sol"
"2029","Prairie de Mauves","PZ5 / PDM_0005","Zn_sol"
"2030","Prairie de Mauves","PZ5 / PDM_0005","Se_sol"
"2031","Prairie de Mauves","PZ5 / PDM_0005","Pb_sol"
"2032","Prairie de Mauves","PZ5 / PDM_0005","P_sol"
"2033","Prairie de Mauves","PZ5 / PDM_0005","Ni_sol"
"2034","Prairie de Mauves","PZ5 / PDM_0005","Na_sol"
"2035","Prairie de Mauves","PZ5 / PDM_0005","Mn_sol"
"2036","Prairie de Mauves","PZ5 / PDM_0005","Mg_sol"
"2037","Prairie de Mauves","PZ5 / PDM_0005","K_sol"
"2038","Prairie de Mauves","PZ5 / PDM_0005","Fe_sol"
"2039","Prairie de Mauves","PZ5 / PDM_0005","Cu_sol"
"2040","Prairie de Mauves","PZ5 / PDM_0005","Cr_sol"
"2041","Prairie de Mauves","PZ5 / PDM_0005","Co_sol"
"2042","Prairie de Mauves","PZ5 / PDM_0005","Cd_sol"
"2043","Prairie de Mauves","PZ5 / PDM_0005","Ca_sol"
"2044","Prairie de Mauves","PZ5 / PDM_0005","Ba_sol"
"2045","Prairie de Mauves","PZ5 / PDM_0005","B_sol"
"2046","Prairie de Mauves","PZ5 / PDM_0005","As_sol"
"2047","Prairie de Mauves","PZ5 / PDM_0005","Al_sol"
"2048","Prairie de Mauves","Puits 2 / PDM_0017","Al_sol"
"2049","Prairie de Mauves","Puits 2 / PDM_0017","As_sol"
"2050","Prairie de Mauves","Puits 2 / PDM_0017","B_sol"
"2051","Prairie de Mauves","Puits 2 / PDM_0017","Ba_sol"
"2052","Prairie de Mauves","Puits 2 / PDM_0017","Ca_sol"
"2053","Prairie de Mauves","Puits 2 / PDM_0017","Cd_sol"
"2054","Prairie de Mauves","Puits 2 / PDM_0017","Co_sol"
"2055","Prairie de Mauves","Puits 2 / PDM_0017","Cr_sol"
"2056","Prairie de Mauves","Puits 2 / PDM_0017","Cu_sol"
"2057","Prairie de Mauves","Puits 2 / PDM_0017","Fe_sol"
"2058","Prairie de Mauves","Puits 2 / PDM_0017","K_sol"
"2059","Prairie de Mauves","Puits 2 / PDM_0017","Mg_sol"
"2060","Prairie de Mauves","Puits 2 / PDM_0017","Mn_sol"
"2061","Prairie de Mauves","Puits 2 / PDM_0017","Na_sol"
"2062","Prairie de Mauves","Puits 2 / PDM_0017","Ni_sol"
"2063","Prairie de Mauves","Puits 2 / PDM_0017","P_sol"
"2064","Prairie de Mauves","Puits 2 / PDM_0017","Pb_sol"
"2065","Prairie de Mauves","Puits 2 / PDM_0017","Se_sol"
"2066","Prairie de Mauves","Puits 2 / PDM_0017","Zn_sol"
"2067","Prairie de Mauves","PZ9bis / PDM_0009","Zn_sol"
"2068","Prairie de Mauves","PZ9bis / PDM_0009","V_sol"
"2069","Prairie de Mauves","PZ5 / PDM_0005","V_sol"
"2070","Prairie de Mauves","Puits 2 / PDM_0017","V_sol"
"2071","Prairie de Mauves","PZ7 / PDM_0007","V_sol"
"2072","BV Pin Sec","EU_Immeuble_Than / PIN-SEC_0047","Mg_f0.45um"
"2073","BV Pin Sec","EU_Immeuble_Than / PIN-SEC_0047","Li_f0.45um"
"2074","BV Pin Sec","EU_Immeuble_Than / PIN-SEC_0047","K_f0.45um"
"2075","BV Pin Sec","EU_Immeuble_Than / PIN-SEC_0047","Fe_f0.45um"
"2076","BV Pin Sec","EU_Immeuble_Than / PIN-SEC_0047","Cu_f0.45um"
"2077","BV Pin Sec","EU_Immeuble_Than / PIN-SEC_0047","Co_f0.45um"
"2078","BV Pin Sec","EU_Immeuble_Than / PIN-SEC_0047","Ca_f0.45um"
"2079","BV Pin Sec","EU_Immeuble_Than / PIN-SEC_0047","Ba_f0.45um"
"2080","BV Pin Sec","EU_Immeuble_Than / PIN-SEC_0047","B_f0.45um"
"2081","BV Pin Sec","EU_Toul / PIN-SEC_0050","Zn"
"2082","BV Pin Sec","EU_Toul / PIN-SEC_0050","Sr"
"2083","BV Pin Sec","EU_Toul / PIN-SEC_0050","Phosphore total"
"2084","BV Pin Sec","EU_Toul / PIN-SEC_0050","Ni"
"2085","BV Pin Sec","EU_Toul / PIN-SEC_0050","Na"
"2086","BV Pin Sec","EU_Toul / PIN-SEC_0050","Mn"
"2087","BV Pin Sec","EU_Toul / PIN-SEC_0050","Mg"
"2088","BV Pin Sec","EU_Toul / PIN-SEC_0050","Li"
"2089","BV Pin Sec","EU_Toul / PIN-SEC_0050","K"
"2090","BV Pin Sec","EU_Toul / PIN-SEC_0050","Fe"
"2091","BV Pin Sec","EU_Toul / PIN-SEC_0050","Cu"
"2092","BV Pin Sec","EU_Toul / PIN-SEC_0050","Co"
"2093","BV Pin Sec","EU_Toul / PIN-SEC_0050","Ca"
"2094","BV Pin Sec","EU_Toul / PIN-SEC_0050","Ba"
"2095","BV Pin Sec","EU_Toul / PIN-SEC_0050","B"
"2096","BV Pin Sec","EU_Toul / PIN-SEC_0050","Si_f0.45um"
"2097","BV Pin Sec","EU_Toul / PIN-SEC_0050","Zn_f0.45um"
"2098","BV Pin Sec","EU_Toul / PIN-SEC_0050","Sr_f0.45um"
"2099","BV Pin Sec","EU_Toul / PIN-SEC_0050","P_f0.45um"
"2100","BV Pin Sec","EU_Toul / PIN-SEC_0050","Ni_f0.45um"
"2101","BV Pin Sec","EU_Toul / PIN-SEC_0050","Na_f0.45um"
"2102","BV Pin Sec","EU_Toul / PIN-SEC_0050","Mn_f0.45um"
"2103","BV Pin Sec","EU_Toul / PIN-SEC_0050","Mg_f0.45um"
"2104","BV Pin Sec","EU_Toul / PIN-SEC_0050","Li_f0.45um"
"2105","BV Pin Sec","EU_Toul / PIN-SEC_0050","K_f0.45um"
"2106","BV Pin Sec","EU_Toul / PIN-SEC_0050","Fe_f0.45um"
"2107","BV Pin Sec","EU_Toul / PIN-SEC_0050","Cu_f0.45um"
"2108","BV Pin Sec","EU_Toul / PIN-SEC_0050","Co_f0.45um"
"2109","BV Pin Sec","EU_Toul / PIN-SEC_0050","Ca_f0.45um"
"2110","BV Pin Sec","EU_Toul / PIN-SEC_0050","Ba_f0.45um"
"2111","BV Pin Sec","EU_Toul / PIN-SEC_0050","B_f0.45um"
"2112","BV Pin Sec","PZPS / PIN-SEC_0003","pH_labo"
"2113","BV Pin Sec","PZPS / PIN-SEC_0003","EC_25C_labo"
"2114","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","pH_labo"
"2115","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","EC_25C_labo"
"2116","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","DCO sur échantillon homogène"
"2117","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","MES"
"2118","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Br"
"2119","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","Chlorures"
"2120","BV Pin Sec","EU_Maisons_Toul / PIN-SEC_00","F"
"2121","BV Pin Sec","EU_Than / PIN-SEC_0046","pH_labo"
"2122","BV Pin Sec","EU_Than / PIN-SEC_0046","EC_25C_labo"
"2123","BV Pin Sec","EU_Than / PIN-SEC_0046","DCO sur échantillon homogène"
"2124","BV Pin Sec","EU_Than / PIN-SEC_0046","MES"
"2125","BV Pin Sec","EU_Than / PIN-SEC_0046","Br"
"2126","BV Pin Sec","EU_Than / PIN-SEC_0046","Chlorures"
"2127","BV Pin Sec","EU_Than / PIN-SEC_0046","F"
"2128","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","pH_labo"
"2129","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","EC_25C_labo"
"2130","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","DCO sur échantillon homogène"
"2131","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","MES"
"2132","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Br"
"2133","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","Chlorures"
"2134","BV Pin Sec","EU_Pilotiere / PIN-SEC_0049","F"
"2135","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","pH_labo"
"2136","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","EC_25C_labo"
"2137","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","DCO sur échantillon homogène"
"2138","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","MES"
"2139","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Br"
"2140","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","Chlorures"
"2141","BV Pin Sec","EU_Lapeby / PIN-SEC_0045","F"
"2142","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","pH_labo"
"2143","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","EC_25C_labo"
"2144","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","DCO sur échantillon homogène"
"2145","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","MES"
"2146","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Br"
"2147","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","Chlorures"
"2148","BV Pin Sec","EP_nappe_Riveterie / PIN-SEC_0039","F"
"2149","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","pH_labo"
"2150","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","EC_25C_labo"
"2151","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","DCO sur échantillon homogène"
"2152","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","MES"
"2153","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Br"
"2154","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Chlorures"
"2155","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","F"
"2156","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","pH_labo"
"2157","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","EC_25C_labo"
"2158","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","DCO sur échantillon homogène"
"2159","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","MES"
"2160","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Br"
"2161","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Chlorures"
"2162","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","F"
"2163","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","pH_labo"
"2164","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","EC_25C_labo"
"2165","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","DCO sur échantillon homogène"
"2166","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","MES"
"2167","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Br"
"2168","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Chlorures"
"2169","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","F"
"2170","BV Pin Sec","PZCP / PIN-SEC_0004","pH_labo"
"2171","BV Pin Sec","PZCP / PIN-SEC_0004","EC_25C_labo"
"2172","BV Pin Sec","PZCP / PIN-SEC_0004","DCO sur échantillon homogène"
"2173","BV Pin Sec","PZCP / PIN-SEC_0004","MES"
"2174","BV Pin Sec","PZCP / PIN-SEC_0004","Br"
"2175","BV Pin Sec","PZCP / PIN-SEC_0004","Chlorures"
"2176","BV Pin Sec","PZCP / PIN-SEC_0004","F"
"2177","BV Pin Sec","PZAF / PIN-SEC_0007","pH_labo"
"2178","BV Pin Sec","PZAF / PIN-SEC_0007","EC_25C_labo"
"2179","BV Pin Sec","PZAF / PIN-SEC_0007","DCO sur échantillon homogène"
"2180","BV Pin Sec","PZAF / PIN-SEC_0007","MES"
"2181","BV Pin Sec","PZAF / PIN-SEC_0007","Br"
"2182","BV Pin Sec","PZAF / PIN-SEC_0007","Chlorures"
"2183","BV Pin Sec","PZAF / PIN-SEC_0007","F"
"2184","BV Pin Sec","PZGO / PIN-SEC_0010","pH_labo"
"2185","BV Pin Sec","PZGO / PIN-SEC_0010","EC_25C_labo"
"2186","BV Pin Sec","PZCS / PIN-SEC_0009","pH_labo"
"2187","BV Pin Sec","PZCS / PIN-SEC_0009","EC_25C_labo"
"2188","Prairie de Mauves","PZ6 / PDM_0006","Cr"
"2189","Prairie de Mauves","PZ6 / PDM_0006","Ni"
"2190","Prairie de Mauves","PZ6 / PDM_0006","Pb"
"2191","Prairie de Mauves","PZ6 / PDM_0006","Fe"
"2192","Prairie de Mauves","PZ6 / PDM_0006","Hg"
"2193","Prairie de Mauves","PZ6 / PDM_0006","As"
"2194","Prairie de Mauves","PZ1 / PDM_0001","EC_25C_insitu"
"2195","Prairie de Mauves","PZ1 / PDM_0001","Azote ammoniacal"
"2196","Prairie de Mauves","PZ1 / PDM_0001","Nitrites"
"2197","Prairie de Mauves","PZ1 / PDM_0001","Nitrates"
"2198","Prairie de Mauves","PZ1 / PDM_0001","Chlorures"
"2199","Prairie de Mauves","PZ1 / PDM_0001","Sulfates"
"2200","Prairie de Mauves","PZ1 / PDM_0001","MES"
"2201","Prairie de Mauves","PZ1 / PDM_0001","DCO sur échantillon homogène"
"2202","Prairie de Mauves","PZ1 / PDM_0001","DBO5 sur échantillon homogène"
"2203","Prairie de Mauves","PZ1 / PDM_0001","HCT"
"2204","Prairie de Mauves","PZ2 / PDM_0002","pH_insitu"
"2205","Prairie de Mauves","PZ1 / PDM_0001","Indice de phénol"
"2206","Prairie de Mauves","PZ2 / PDM_0002","Azote ammoniacal"
"2207","Prairie de Mauves","PZ2 / PDM_0002","Nitrites"
"2208","Prairie de Mauves","PZ1 / PDM_0001","Cd"
"2209","Prairie de Mauves","PZ2 / PDM_0002","Nitrates"
"2210","Prairie de Mauves","PZ1 / PDM_0001","Cr"
"2211","Prairie de Mauves","PZ2 / PDM_0002","Sulfates"
"2212","Prairie de Mauves","PZ2 / PDM_0002","MES"
"2213","Prairie de Mauves","PZ2 / PDM_0002","DCO sur échantillon homogène"
"2214","Prairie de Mauves","PZ2 / PDM_0002","DBO5 sur échantillon homogène"
"2215","Prairie de Mauves","PZ2 / PDM_0002","HCT"
"2216","Prairie de Mauves","PZ2 / PDM_0002","Indice de phénol"
"2217","Prairie de Mauves","PZ1 / PDM_0001","Zn"
"2218","Prairie de Mauves","PZ2 / PDM_0002","Cd"
"2219","Prairie de Mauves","PZ2 / PDM_0002","Cr"
"2220","Prairie de Mauves","PZ1 / PDM_0001","Pb"
"2221","Prairie de Mauves","PZ2 / PDM_0002","Cu"
"2222","Prairie de Mauves","PZ2 / PDM_0002","Ni"
"2223","Prairie de Mauves","PZ1 / PDM_0001","Fe"
"2224","Prairie de Mauves","PZ2 / PDM_0002","Pb"
"2225","Prairie de Mauves","PZ1 / PDM_0001","Hg"
"2226","Prairie de Mauves","PZ2 / PDM_0002","Fe"
"2227","Prairie de Mauves","PZ2 / PDM_0002","Hg"
"2228","Prairie de Mauves","PZ1 / PDM_0001","As"
"2229","Prairie de Mauves","PZ2 / PDM_0002","As"
"2230","Prairie de Mauves","PZ4 / PDM_0004","MES"
"2231","Prairie de Mauves","PZ4 / PDM_0004","DCO sur échantillon homogène"
"2232","Prairie de Mauves","PZ4 / PDM_0004","DBO5 sur échantillon homogène"
"2233","Prairie de Mauves","PZ4 / PDM_0004","HCT"
"2234","Prairie de Mauves","PZ4 / PDM_0004","Indice de phénol"
"2235","Prairie de Mauves","PZ4 / PDM_0004","Cd"
"2236","Prairie de Mauves","PZ4 / PDM_0004","Cr"
"2237","Prairie de Mauves","PZ4 / PDM_0004","Zn"
"2238","Prairie de Mauves","PZ4 / PDM_0004","Fe"
"2239","Prairie de Mauves","PZ4 / PDM_0004","Hg"
"2240","Prairie de Mauves","PZ4 / PDM_0004","As"
"2241","Prairie de Mauves","PZ6 / PDM_0006","pH_insitu"
"2242","Prairie de Mauves","PZ6 / PDM_0006","Azote ammoniacal"
"2243","Prairie de Mauves","PZ6 / PDM_0006","Nitrites"
"2244","Prairie de Mauves","PZ6 / PDM_0006","Nitrates"
"2245","Prairie de Mauves","PZ6 / PDM_0006","Chlorures"
"2246","Prairie de Mauves","PZ6 / PDM_0006","DCO sur échantillon homogène"
"2247","Prairie de Mauves","PZ6 / PDM_0006","DBO5 sur échantillon homogène"
"2248","Prairie de Mauves","PZ6 / PDM_0006","HCT"
"2249","Prairie de Mauves","PZ6 / PDM_0006","Indice de phénol"
"2250","Prairie de Mauves","PZ4 / PDM_0004","EC_25C_insitu"
"2251","Prairie de Mauves","PZ4 / PDM_0004","pH_insitu"
"2252","Prairie de Mauves","PZ5 / PDM_0005","HCT"
"2253","Prairie de Mauves","PZ5 / PDM_0005","Indice de phénol"
"2254","Prairie de Mauves","PZ4 / PDM_0004","Azote ammoniacal"
"2255","Prairie de Mauves","PZ4 / PDM_0004","Nitrites"
"2256","Prairie de Mauves","PZ4 / PDM_0004","Chlorures"
"2257","Bassin Ville au Blanc","VaB sortie / VaB_04","V"
"2258","Bassin Ville au Blanc","VaB sortie / VaB_04","Ti"
"2259","Bassin Ville au Blanc","VaB sortie / VaB_04","Sr"
"2260","Bassin Ville au Blanc","VaB sortie / VaB_04","Pb"
"2261","Bassin Ville au Blanc","VaB sortie / VaB_04","Phosphore total"
"2262","Bassin Ville au Blanc","VaB sortie / VaB_04","Ni"
"2263","Bassin Ville au Blanc","VaB sortie / VaB_04","Na"
"2264","Bassin Ville au Blanc","VaB sortie / VaB_04","Mo"
"2265","Bassin Ville au Blanc","VaB sortie / VaB_04","Zn"
"2266","Bassin Ville au Blanc","VaB sortie / VaB_04","Mn"
"2267","Bassin Ville au Blanc","VaB sortie / VaB_04","Mg"
"2268","Bassin Ville au Blanc","VaB sortie / VaB_04","K"
"2269","Bassin Ville au Blanc","VaB sortie / VaB_04","Fe"
"2270","Bassin Ville au Blanc","VaB sortie / VaB_04","Cu"
"2271","Bassin Ville au Blanc","VaB sortie / VaB_04","Cr"
"2272","Bassin Ville au Blanc","VaB sortie / VaB_04","Co"
