"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"42","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 09:16:00,197.541,"ICP-OES-1"
"43","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 09:16:00,0.073,"Chromatographie ionique"
"44","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 09:16:00,17.422,"Chromatographie ionique"
"45","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 09:16:00,NA,"Chromatographie ionique"
"46","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 09:45:00,NA,"Chromatographie ionique"
"47","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 09:45:00,19.047,"Chromatographie ionique"
"48","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 09:45:00,0.076,"Chromatographie ionique"
"49","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 09:45:00,105.556,"ICP-OES-1"
"50","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène",2015-01-15 09:45:00,172,"Spectrophotométrie (DCO)"
"51","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 09:45:00,7.49,"Potentiométrie (pH)"
"52","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 09:45:00,287,"Electrométrie (conductivité)"
"53","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 10:15:00,246,"Electrométrie (conductivité)"
"54","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 10:15:00,7.35,"Potentiométrie (pH)"
"55","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","DCO sur échantillon homogène",2015-01-15 10:15:00,258,"Spectrophotométrie (DCO)"
"56","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","MES",2015-01-15 10:15:00,158.824,"ICP-OES-1"
"57","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","F",2015-01-15 10:15:00,0.073,"Chromatographie ionique"
"58","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Chlorures",2015-01-15 10:15:00,15.917,"Chromatographie ionique"
"59","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 10:15:00,NA,"Chromatographie ionique"
"60","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","pH_insitu",2015-01-15 10:45:00,7.57,"Potentiométrie (pH)"
"61","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","EC_25C_insitu",2015-01-15 10:45:00,326,"Electrométrie (conductivité)"
"62","BV Pin Sec","Debitmetre Pin-Sec_EU / PIN-SEC_0037","Br",2015-01-15 11:15:00,NA,"Chromatographie ionique"
