"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"3535","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Ca",2013-09-16 00:00:00,33.194,"ICP-OES-1"
"3536","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Cd",2013-09-16 00:00:00,NA,"ICP-MS 2008/2016"
"3537","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Co",2013-09-16 00:00:00,NA,"ICP-OES-1"
"3538","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Cr",2013-09-16 00:00:00,1.03,"ICP-MS 2008/2016"
"3539","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Cu",2013-09-16 00:00:00,20.06,"ICP-MS 2008/2016"
"3540","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Fe",2013-09-16 00:00:00,0.039,"ICP-OES-1"
"3541","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","K",2013-09-16 00:00:00,12.754,"ICP-OES-1"
"3542","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Mg",2013-09-16 00:00:00,3.807,"ICP-OES-1"
"3543","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","pH_labo",2013-09-16 00:00:00,7.8,"Potentiométrie (pH)"
"3544","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","EC_25C_labo",2013-09-16 00:00:00,260,"Electrométrie (conductivité)"
"3545","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","MES",2013-09-16 00:00:00,-0.2,"Filtration sur filtre en fibres de verre"
"3546","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Carbone organique total",2013-09-16 00:00:00,16.4,"Oxydation par persulfate en milieu acide"
"3547","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Carbone organique dissous",2013-09-16 00:00:00,12.5,"Oxydation par persulfate en milieu acide"
"3548","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Mn_f0.45um",2013-09-16 00:00:00,0.001,"ICP-OES-1"
"3549","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Mo_f0.45um",2013-09-16 00:00:00,NA,"ICP-OES-1"
"3550","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Na_f0.45um",2013-09-16 00:00:00,7.409,"ICP-OES-1"
"3551","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Ni_f0.45um",2013-09-16 00:00:00,1.95,"ICP-MS 2008/2016"
"3552","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","P_f0.45um",2013-09-16 00:00:00,0.25,"ICP-OES-1"
"3553","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Pb_f0.45um",2013-09-16 00:00:00,0.33,"ICP-MS 2008/2016"
"3554","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Sr_f0.45um",2013-09-16 00:00:00,0.095,"ICP-OES-1"
"3555","Écoquartier Bottière-Chesnaie","Noue_Dumont_Aval / EcoQUA_010","Ti_f0.45um",2013-09-16 00:00:00,0.002,"ICP-OES-1"
