"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"77",26134,"Noue ZAC de la Brosse","NB_03","As_sol",2015-09-29 09:40:00,203.763,"ICP-OES-2"
"78",27895,"Noue ZAC de la Brosse","NB_01","As_sol",2016-06-09 13:30:00,112.328,"ICP-OES-2"
"79",27898,"Noue ZAC de la Brosse","NB_01","Cd_sol",2016-06-09 13:30:00,1.075,"ICP-OES-2"
"80",27899,"Noue ZAC de la Brosse","NB_01","Co_sol",2016-06-09 13:30:00,117.522,"ICP-OES-2"
"81",27900,"Noue ZAC de la Brosse","NB_01","Cr_sol",2016-06-09 13:30:00,58.938,"ICP-OES-2"
"82",27901,"Noue ZAC de la Brosse","NB_01","Cu_sol",2016-06-09 13:30:00,110.079,"ICP-OES-2"
"83",27906,"Noue ZAC de la Brosse","NB_01","Mo_sol",2016-06-09 13:30:00,4.985,"ICP-OES-2"
"84",28239,"Noue ZAC de la Brosse","NB_01","Ni_sol",2016-06-09 13:30:00,87.677,"ICP-OES-2"
"85",28241,"Noue ZAC de la Brosse","NB_01","Pb_sol",2016-06-09 13:30:00,42.276,"ICP-OES-2"
"86",28242,"Noue ZAC de la Brosse","NB_01","Sr_sol",2016-06-09 13:30:00,67.848,"ICP-OES-2"
"87",28243,"Noue ZAC de la Brosse","NB_01","Ti_sol",2016-06-09 13:30:00,2032.03,"ICP-OES-2"
"88",28244,"Noue ZAC de la Brosse","NB_01","V_sol",2016-06-09 13:30:00,87.86,"ICP-OES-2"
"89",28245,"Noue ZAC de la Brosse","NB_01","Zn_sol",2016-06-09 13:30:00,603.627,"ICP-OES-2"
"90",29130,"Noue ZAC de la Brosse","NB_01","As_f0.45um",2016-06-14 13:40:00,4.809,"ICP-1"
"91",29135,"Noue ZAC de la Brosse","NB_01","Cr_f0.45um",2016-06-14 13:40:00,0.156,"ICP-MS 2008/2016"
"92",29136,"Noue ZAC de la Brosse","NB_01","Cu_f0.45um",2016-06-14 13:40:00,5.967,"ICP-MS 2008/2016"
"93",29143,"Noue ZAC de la Brosse","NB_01","Ni_f0.45um",2016-06-14 13:40:00,5.149,"ICP-MS 2008/2016"
"94",29145,"Noue ZAC de la Brosse","NB_01","Pb_f0.45um",2016-06-14 13:40:00,0.254,"ICP-MS 2008/2016"
"95",29146,"Noue ZAC de la Brosse","NB_01","Sr_f0.45um",2016-06-14 13:40:00,0.203,"ICP-OES-1"
"96",29148,"Noue ZAC de la Brosse","NB_01","V_f0.45um",2016-06-14 13:40:00,0.863,"ICP-MS 2008/2016"
"97",29149,"Noue ZAC de la Brosse","NB_01","Zn_f0.45um",2016-06-14 13:40:00,30,"ICP-1"
"98",29152,"Noue ZAC de la Brosse","NB_01","As",2016-06-14 13:40:00,21.1,"ICP-1"
"99",29155,"Noue ZAC de la Brosse","NB_01","Cd",2016-06-14 13:40:00,0.109,"ICP-MS 2008/2016"
"100",29156,"Noue ZAC de la Brosse","NB_01","Co",2016-06-14 13:40:00,0.003,"ICP-OES-1"
"101",29157,"Noue ZAC de la Brosse","NB_01","Cr",2016-06-14 13:40:00,1.396,"ICP-MS 2008/2016"
"102",29158,"Noue ZAC de la Brosse","NB_01","Cu",2016-06-14 13:40:00,14.641,"ICP-MS 2008/2016"
