"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",27492,"Bassin Ville au Blanc","VaB_03","Fla_sol",2017-05-10 07:15:00,393,"GC/MS/MS_Sol"
"2",39361,"Bassin Ville au Blanc","VaB_04","Fla_sol",2017-05-10 07:30:00,60,"GC/MS/MS_Sol"
"3",39909,"Bassin Ville au Blanc","VaB_05","Fla_sol",2017-05-10 08:25:00,128,"GC/MS/MS_Sol"
"4",46826,"Bassin Ville au Blanc","VaB_05","Fla_sol",2018-07-04 10:00:00,64.66,"GC/MS/MS_Sol"
"5",46849,"Bassin Ville au Blanc","VaB_03","Fla_sol",2018-07-04 08:30:00,79.14,"GC/MS/MS_Sol"
"6",46879,"Bassin Ville au Blanc","VaB_04","Fla_sol",2018-07-04 09:30:00,136.73,"GC/MS/MS_Sol"
