"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"34353","Prairie de Mauves","PZ8 / PDM_0008","EC_25C_insitu",2016-01-13 10:05:00,3010,"Electrométrie (conductivité)"
"34354","Prairie de Mauves","PZ8 / PDM_0008","pH_insitu",2016-01-13 10:05:00,6.64,"Potentiométrie (pH)"
"34355","Prairie de Mauves","PZ8 / PDM_0008","O2_insitu",2016-01-13 10:05:00,0.09,"Électrochimie"
"34356","Prairie de Mauves","PZ8 / PDM_0008","Eh_corr_insitu",2016-01-13 10:05:00,86.9,"Potentiométrie"
"34357","Prairie de Mauves","PZ6 / PDM_0006","T_insitu",2016-01-12 15:25:00,14.3,"Thermométrie"
"34358","Prairie de Mauves","PZ6 / PDM_0006","EC_25C_insitu",2016-01-12 15:25:00,885,"Electrométrie (conductivité)"
"34359","Prairie de Mauves","PZ6 / PDM_0006","pH_insitu",2016-01-12 15:25:00,6.76,"Potentiométrie (pH)"
"34360","Prairie de Mauves","PZ6 / PDM_0006","O2_insitu",2016-01-12 15:25:00,1.62,"Électrochimie"
"34361","Prairie de Mauves","PZ6 / PDM_0006","Eh_corr_insitu",2016-01-12 15:25:00,180.9,"Potentiométrie"
"34362","Prairie de Mauves","PZ1 bis / PDM_0083","T_insitu",2016-01-13 14:00:00,15.6,"Thermométrie"
"34363","Prairie de Mauves","PZ1 bis / PDM_0083","EC_25C_insitu",2016-01-13 14:00:00,3850,"Electrométrie (conductivité)"
"34364","Prairie de Mauves","PZ1 bis / PDM_0083","pH_insitu",2016-01-13 14:00:00,6.63,"Potentiométrie (pH)"
"34365","Prairie de Mauves","PZ1 bis / PDM_0083","O2_insitu",2016-01-13 14:00:00,0.1,"Électrochimie"
"34366","Prairie de Mauves","PZ1 bis / PDM_0083","Eh_corr_insitu",2016-01-13 14:00:00,100.6,"Potentiométrie"
"34367","Prairie de Mauves","Puits 4 / PDM_0019","T_insitu",2016-01-12 09:10:00,11.3,"Thermométrie"
"34368","Prairie de Mauves","Puits 4 / PDM_0019","EC_25C_insitu",2016-01-12 09:10:00,257,"Electrométrie (conductivité)"
"34369","Prairie de Mauves","Puits 4 / PDM_0019","pH_insitu",2016-01-12 09:10:00,6.58,"Potentiométrie (pH)"
"34370","Prairie de Mauves","Puits 4 / PDM_0019","O2_insitu",2016-01-12 09:10:00,6.1,"Électrochimie"
"34371","Prairie de Mauves","Puits 4 / PDM_0019","Eh_corr_insitu",2016-01-12 09:10:00,434.9,"Potentiométrie"
"34372","Prairie de Mauves","Puits 2 / PDM_0017","T_insitu",2016-01-12 08:40:00,12.4,"Thermométrie"
"34373","Prairie de Mauves","Puits 2 / PDM_0017","EC_25C_insitu",2016-01-12 08:40:00,767,"Electrométrie (conductivité)"
"34374","Prairie de Mauves","Puits 2 / PDM_0017","pH_insitu",2016-01-12 08:40:00,6.51,"Potentiométrie (pH)"
