"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"7046",53699,"Prairie de Mauves","PDM_0007","Zn",2018-09-26 09:25:00,8.8501,"ICP-MS 2017/20xx-1"
"7047",53702,"Prairie de Mauves","PDM_0007","As_f0.45um",2018-09-26 09:25:00,3.876,"ICP-MS 2017/20xx-1"
"7048",53707,"Prairie de Mauves","PDM_0007","Co_f0.45um",2018-09-26 09:25:00,1.7593,"ICP-MS 2017/20xx-1"
"7049",53708,"Prairie de Mauves","PDM_0007","Cr_f0.45um",2018-09-26 09:25:00,0.9678,"ICP-MS 2017/20xx-1"
"7050",53714,"Prairie de Mauves","PDM_0007","Mo_f0.45um",2018-09-26 09:25:00,0.1322,"ICP-MS 2017/20xx-1"
"7051",53716,"Prairie de Mauves","PDM_0007","Ni_f0.45um",2018-09-26 09:25:00,4.2476,"ICP-MS 2017/20xx-1"
"7052",53721,"Prairie de Mauves","PDM_0007","Sr_f0.45um",2018-09-26 09:25:00,0.954,"ICP-OES-1"
"7053",53723,"Prairie de Mauves","PDM_0007","V_f0.45um",2018-09-26 09:25:00,0.1578,"ICP-MS 2017/20xx-1"
"7054",53724,"Prairie de Mauves","PDM_0007","Zn_f0.45um",2018-09-26 09:25:00,2.7738,"ICP-MS 2017/20xx-1"
"7055",53747,"Prairie de Mauves","PDM_0009","As_f0.45um",2016-03-23 08:43:00,74.861,"ICP-1"
"7056",53770,"Prairie de Mauves","PDM_0009","As_f0.45um",2016-09-28 08:00:00,7.846,"ICP-1"
"7057",53773,"Prairie de Mauves","PDM_0009","As",2016-09-28 08:00:00,13.655,"ICP-1"
"7058",53783,"Prairie de Mauves","PDM_0009","Cr",2016-09-28 08:00:00,1.901,"ICP-MS 2008/2016"
"7059",53785,"Prairie de Mauves","PDM_0009","Cu",2016-09-28 08:00:00,10.937,"ICP-MS 2008/2016"
"7060",53793,"Prairie de Mauves","PDM_0009","Ni_f0.45um",2016-09-28 08:00:00,5.185,"ICP-MS 2008/2016"
"7061",53795,"Prairie de Mauves","PDM_0009","Ni",2016-09-28 08:00:00,6.765,"ICP-MS 2008/2016"
"7062",53799,"Prairie de Mauves","PDM_0009","Pb",2016-09-28 08:00:00,3.16,"ICP-MS 2008/2016"
"7063",53803,"Prairie de Mauves","PDM_0009","V",2016-09-28 08:00:00,2.915,"ICP-MS 2008/2016"
"7064",53805,"Prairie de Mauves","PDM_0009","Zn",2016-09-28 08:00:00,27.916,"ICP-1"
"7065",53808,"Prairie de Mauves","PDM_0009","V_f0.45um",2016-09-28 08:00:00,1.376,"ICP-MS 2008/2016"
"7066",53810,"Prairie de Mauves","PDM_0017","As_f0.45um",2016-09-27 08:25:00,5.128,"ICP-1"
"7067",53816,"Prairie de Mauves","PDM_0017","Cr_f0.45um",2016-09-27 08:25:00,0.295,"ICP-MS 2008/2016"
"7068",53817,"Prairie de Mauves","PDM_0017","Cu_f0.45um",2016-09-27 08:25:00,2.851,"ICP-MS 2008/2016"
"7069",54138,"Prairie de Mauves","PDM_0088","As",2017-04-04 13:56:00,4.1847,"ICP-MS 2017/20xx-1"
