"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"27903","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","K_sol",2016-06-09 13:30:00,16978.4,"ICP-OES-2"
"27904","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Mg_sol",2016-06-09 13:30:00,5550.81,"ICP-OES-2"
"27905","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Mn_sol",2016-06-09 13:30:00,1287.64,"ICP-OES-2"
"27906","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Mo_sol",2016-06-09 13:30:00,4.985,"ICP-OES-2"
"27907","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Na_sol",2016-06-09 13:30:00,5822.99,"ICP-OES-2"
"28239","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ni_sol",2016-06-09 13:30:00,87.677,"ICP-OES-2"
"28240","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","P_sol",2016-06-09 13:30:00,1204.6,"ICP-OES-2"
"28241","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Pb_sol",2016-06-09 13:30:00,42.276,"ICP-OES-2"
"28242","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Sr_sol",2016-06-09 13:30:00,67.848,"ICP-OES-2"
"28243","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ti_sol",2016-06-09 13:30:00,2032.03,"ICP-OES-2"
"28244","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","V_sol",2016-06-09 13:30:00,87.86,"ICP-OES-2"
"28245","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Zn_sol",2016-06-09 13:30:00,603.627,"ICP-OES-2"
"28246","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Pt_sol",2016-06-09 13:30:00,NA,"Eau régale + micro-ondes + ICP-MS"
"28247","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","pH_sol",2016-06-09 13:30:00,5.85,"Potentiométrie-1 (solution 1/5)"
"28248","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","EC_sol",2016-06-09 13:30:00,723,"Électrochimie (conductivité) (solution 1/5 < 2 mm)"
"28249","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","MV_550C",2016-06-09 13:30:00,17.11,"Perte au feu (calcination à 550°C)"
"28250","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Granulo_D10",2016-06-09 13:30:00,4.95,"Granulométrie à diffraction laser-2-1"
"28251","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Granulo_D50",2016-06-09 13:30:00,27.9,"Granulométrie à diffraction laser-2-1"
"28252","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Granulo_D90",2016-06-09 13:30:00,190,"Granulométrie à diffraction laser-2-1"
"29129","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Al_f0.45um",2016-06-14 13:40:00,NA,"ICP-OES-1"
"29130","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","As_f0.45um",2016-06-14 13:40:00,4.809,"ICP-1"
"29131","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ba_f0.45um",2016-06-14 13:40:00,0.037,"ICP-OES-1"
"29132","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ca_f0.45um",2016-06-14 13:40:00,52.777,"ICP-OES-1"
"29133","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Cd_f0.45um",2016-06-14 13:40:00,NA,"ICP-MS 2008/2016"
"29134","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Co_f0.45um",2016-06-14 13:40:00,NA,"ICP-OES-1"
"29135","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Cr_f0.45um",2016-06-14 13:40:00,0.156,"ICP-MS 2008/2016"
"29136","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Cu_f0.45um",2016-06-14 13:40:00,5.967,"ICP-MS 2008/2016"
"29137","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Fe_f0.45um",2016-06-14 13:40:00,0.118,"ICP-OES-1"
"29138","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","K_f0.45um",2016-06-14 13:40:00,5.775,"ICP-OES-1"
"29139","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Mg_f0.45um",2016-06-14 13:40:00,13.416,"ICP-OES-1"
"29140","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Mn_f0.45um",2016-06-14 13:40:00,0.056,"ICP-OES-1"
"29141","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Mo_f0.45um",2016-06-14 13:40:00,NA,"ICP-OES-1"
"29142","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Na_f0.45um",2016-06-14 13:40:00,48.762,"ICP-OES-1"
"29143","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Ni_f0.45um",2016-06-14 13:40:00,5.149,"ICP-MS 2008/2016"
"29144","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","P_f0.45um",2016-06-14 13:40:00,NA,"ICP-OES-1"
"29145","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Pb_f0.45um",2016-06-14 13:40:00,0.254,"ICP-MS 2008/2016"
"29146","Noue ZAC de la Brosse","Noue Brosse sortie / NB_01","Sr_f0.45um",2016-06-14 13:40:00,0.203,"ICP-OES-1"
