"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"3776","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Ti",2015-09-28 09:15:00,NA,"ICP-OES-1"
"3777","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Sr",2015-09-28 09:15:00,0.087,"ICP-OES-1"
"3778","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Pb",2015-09-28 09:15:00,0.977,"ICP-MS 2008/2016"
"3779","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Phosphore total",2015-09-28 09:15:00,NA,"ICP-OES-1"
"3780","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Ni",2015-09-28 09:15:00,1.018,"ICP-MS 2008/2016"
"3781","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Na",2015-09-28 09:15:00,30.099,"ICP-OES-1"
"3782","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Mo",2015-09-28 09:15:00,NA,"ICP-OES-1"
"3783","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Mn",2015-09-28 09:15:00,0.006,"ICP-OES-1"
"3784","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Mg",2015-09-28 09:15:00,8.716,"ICP-OES-1"
"3785","Agglomération Nantaise","Bassin Pierre Anne / AN_001","K",2015-09-28 09:15:00,1.052,"ICP-OES-1"
"3786","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Fe",2015-09-28 09:15:00,0.127,"ICP-OES-1"
"3787","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Cu",2015-09-28 09:15:00,1.392,"ICP-MS 2008/2016"
"3788","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Cr",2015-09-28 09:15:00,0.204,"ICP-MS 2008/2016"
"3789","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Co",2015-09-28 09:15:00,NA,"ICP-OES-1"
"3790","Agglomération Nantaise","Bassin Pierre Anne / AN_001","Cd",2015-09-28 09:15:00,NA,"ICP-MS 2008/2016"
