"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"2810",9280,"Prairie de Mauves","PDM_0005","Cd_f3kDa",2011-01-18 13:30:00,0.2,"ICP-MS 2008/2016"
"2811",9281,"Prairie de Mauves","PDM_0005","Co_f3kDa",2011-01-18 13:30:00,0.001,"ICP-OES-1"
"2812",9282,"Prairie de Mauves","PDM_0005","Cr_f3kDa",2011-01-18 13:30:00,0.471,"ICP-MS 2008/2016"
"2813",9283,"Prairie de Mauves","PDM_0005","Cu_f3kDa",2011-01-18 13:30:00,1.164,"ICP-MS 2008/2016"
"2814",9289,"Prairie de Mauves","PDM_0005","Mo_f3kDa",2011-01-18 13:30:00,0.005,"ICP-OES-1"
"2815",9291,"Prairie de Mauves","PDM_0005","Ni_f3kDa",2011-01-18 13:30:00,8.467,"ICP-MS 2008/2016"
"2816",9292,"Prairie de Mauves","PDM_0005","Pb_f3kDa",2011-01-18 13:30:00,0.2,"ICP-MS 2008/2016"
"2817",9295,"Prairie de Mauves","PDM_0005","Sr_f3kDa",2011-01-18 13:30:00,0.363,"ICP-OES-1"
"2818",9296,"Prairie de Mauves","PDM_0005","Ti_f3kDa",2011-01-18 13:30:00,0.001,"ICP-OES-1"
"2819",9298,"Prairie de Mauves","PDM_0005","V_f3kDa",2011-01-18 13:30:00,0.299,"ICP-MS 2008/2016"
"2820",9299,"Prairie de Mauves","PDM_0005","Zn_f3kDa",2011-01-18 13:30:00,0.713,"ICP-MS 2008/2016"
"2821",9303,"Prairie de Mauves","PDM_0005","As_f0.45um",2011-01-18 13:30:00,4.182,"ICP-MS 2008/2016"
"2822",9311,"Prairie de Mauves","PDM_0017","Cu_f8um",2011-05-16 07:00:00,2.235,"ICP-MS 2008/2016"
"2823",9312,"Prairie de Mauves","PDM_0017","Cr_f8um",2011-05-16 07:00:00,0.145,"ICP-MS 2008/2016"
"2824",9313,"Prairie de Mauves","PDM_0017","Co_f8um",2011-05-16 07:00:00,0.002,"ICP-OES-1"
