"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"48",30920,"Bassin Chézine BO3","BO3_03","V",2016-03-04 12:00:00,0.676,"ICP-MS 2008/2016"
"49",30921,"Bassin Chézine BO3","BO3_03","Zn",2016-03-04 12:00:00,31.74,"ICP-MS 2008/2016"
"50",30944,"Bassin Chézine BO3","BO3_01","As",2016-02-29 12:00:00,3.05,"ICP-MS 2008/2016"
"51",30949,"Bassin Chézine BO3","BO3_01","Cr",2016-02-29 12:00:00,0.466,"ICP-MS 2008/2016"
"52",30950,"Bassin Chézine BO3","BO3_01","Cu",2016-02-29 12:00:00,2.762,"ICP-MS 2008/2016"
"53",30957,"Bassin Chézine BO3","BO3_01","Ni",2016-02-29 12:00:00,5.908,"ICP-MS 2008/2016"
"54",30959,"Bassin Chézine BO3","BO3_01","Pb",2016-02-29 12:00:00,0.358,"ICP-MS 2008/2016"
"55",30960,"Bassin Chézine BO3","BO3_01","Sr",2016-02-29 12:00:00,0.068,"ICP-OES-1"
"56",30961,"Bassin Chézine BO3","BO3_01","Ti",2016-02-29 12:00:00,0.005,"ICP-OES-1"
"57",30962,"Bassin Chézine BO3","BO3_01","V",2016-02-29 12:00:00,0.618,"ICP-MS 2008/2016"
"58",30963,"Bassin Chézine BO3","BO3_01","Zn",2016-02-29 12:00:00,19.776,"ICP-MS 2008/2016"
"59",31419,"Bassin Chézine BO3","BO3_01","As",2016-03-04 12:00:00,2.817,"ICP-MS 2008/2016"
"60",31422,"Bassin Chézine BO3","BO3_01","Cd",2016-03-04 12:00:00,0.176,"ICP-MS 2008/2016"
"61",31424,"Bassin Chézine BO3","BO3_01","Cr",2016-03-04 12:00:00,1.051,"ICP-MS 2008/2016"
"62",31425,"Bassin Chézine BO3","BO3_01","Cu",2016-03-04 12:00:00,4.298,"ICP-MS 2008/2016"
"63",31430,"Bassin Chézine BO3","BO3_01","Mo",2016-03-04 12:00:00,0.039,"ICP-OES-1"
"64",31432,"Bassin Chézine BO3","BO3_01","Ni",2016-03-04 12:00:00,4.705,"ICP-MS 2008/2016"
"65",31434,"Bassin Chézine BO3","BO3_01","Pb",2016-03-04 12:00:00,0.794,"ICP-MS 2008/2016"
"66",31435,"Bassin Chézine BO3","BO3_01","Sr",2016-03-04 12:00:00,0.059,"ICP-OES-1"
"67",31436,"Bassin Chézine BO3","BO3_01","Ti",2016-03-04 12:00:00,0.007,"ICP-OES-1"
"68",31437,"Bassin Chézine BO3","BO3_01","V",2016-03-04 12:00:00,0.755,"ICP-MS 2008/2016"
"69",31438,"Bassin Chézine BO3","BO3_01","Zn",2016-03-04 12:00:00,29.105,"ICP-MS 2008/2016"
"70",32041,"Bassin Chézine BO3","BO3_01","As",2017-09-11 12:00:00,8.7896,"ICP-MS 2017/20xx-1"
"71",32044,"Bassin Chézine BO3","BO3_01","Cd",2017-09-11 12:00:00,0.0374,"ICP-MS 2017/20xx-1"
"72",32045,"Bassin Chézine BO3","BO3_01","Co",2017-09-11 12:00:00,1.0379,"ICP-MS 2017/20xx-1"
"73",32046,"Bassin Chézine BO3","BO3_01","Cr",2017-09-11 12:00:00,4.7032,"ICP-MS 2017/20xx-1"
"74",32047,"Bassin Chézine BO3","BO3_01","Cu",2017-09-11 12:00:00,20.5009,"ICP-MS 2017/20xx-1"
"75",32052,"Bassin Chézine BO3","BO3_01","Mo",2017-09-11 12:00:00,2.3727,"ICP-MS 2017/20xx-1"
"76",32054,"Bassin Chézine BO3","BO3_01","Ni",2017-09-11 12:00:00,7.0725,"ICP-MS 2017/20xx-1"
"77",32056,"Bassin Chézine BO3","BO3_01","Pb",2017-09-11 12:00:00,2.5926,"ICP-MS 2017/20xx-1"
"78",32058,"Bassin Chézine BO3","BO3_01","Sr",2017-09-11 12:00:00,25.7555,"ICP-MS 2017/20xx-1"
"79",32059,"Bassin Chézine BO3","BO3_01","Ti",2017-09-11 12:00:00,110.0409,"ICP-MS 2017/20xx-1"
"80",32060,"Bassin Chézine BO3","BO3_01","V",2017-09-11 12:00:00,5.2312,"ICP-MS 2017/20xx-1"
"81",32061,"Bassin Chézine BO3","BO3_01","Zn",2017-09-11 12:00:00,40.4951,"ICP-MS 2017/20xx-1"
"82",32573,"Bassin Chézine BO3","BO3_03","Ni",2017-09-11 12:00:00,9.7802,"ICP-MS 2017/20xx-1"
"83",32577,"Bassin Chézine BO3","BO3_03","Cd",2017-09-11 12:00:00,0.0403,"ICP-MS 2017/20xx-1"
"84",32588,"Bassin Chézine BO3","BO3_03","Mo",2017-09-11 12:00:00,1.3258,"ICP-MS 2017/20xx-1"
"85",32620,"Bassin Chézine BO3","BO3_03","Zn",2017-09-11 12:00:00,48.9962,"ICP-MS 2017/20xx-1"
"86",32622,"Bassin Chézine BO3","BO3_03","As",2017-09-11 12:00:00,5.5083,"ICP-MS 2017/20xx-1"
"87",32624,"Bassin Chézine BO3","BO3_03","V",2017-09-11 12:00:00,2.2407,"ICP-MS 2017/20xx-1"
"88",32626,"Bassin Chézine BO3","BO3_03","Cu",2017-09-11 12:00:00,13.2404,"ICP-MS 2017/20xx-1"
"89",32628,"Bassin Chézine BO3","BO3_03","Ti",2017-09-11 12:00:00,37.2105,"ICP-MS 2017/20xx-1"
"90",32631,"Bassin Chézine BO3","BO3_03","Sr",2017-09-11 12:00:00,28.3647,"ICP-MS 2017/20xx-1"
"91",32633,"Bassin Chézine BO3","BO3_03","Cr",2017-09-11 12:00:00,1.7331,"ICP-MS 2017/20xx-1"
"92",32639,"Bassin Chézine BO3","BO3_03","Pb",2017-09-11 12:00:00,1.3168,"ICP-MS 2017/20xx-1"
"93",32641,"Bassin Chézine BO3","BO3_03","Co",2017-09-11 12:00:00,1.8611,"ICP-MS 2017/20xx-1"
"94",33286,"Bassin Chézine BO3","BO3_03","Zn",2017-09-25 12:00:00,35.458,"ICP-MS 2017/20xx-1"
"95",33287,"Bassin Chézine BO3","BO3_03","V",2017-09-25 12:00:00,3.3855,"ICP-MS 2017/20xx-1"
"96",33288,"Bassin Chézine BO3","BO3_03","Ti",2017-09-25 12:00:00,75.1705,"ICP-MS 2017/20xx-1"
"97",33289,"Bassin Chézine BO3","BO3_03","Sr",2017-09-25 12:00:00,27.2594,"ICP-MS 2017/20xx-1"
"98",33291,"Bassin Chézine BO3","BO3_03","Pb",2017-09-25 12:00:00,2.1857,"ICP-MS 2017/20xx-1"
"99",33293,"Bassin Chézine BO3","BO3_03","Ni",2017-09-25 12:00:00,7.552,"ICP-MS 2017/20xx-1"
"100",33295,"Bassin Chézine BO3","BO3_03","Mo",2017-09-25 12:00:00,1.5447,"ICP-MS 2017/20xx-1"
"101",33300,"Bassin Chézine BO3","BO3_03","Cu",2017-09-25 12:00:00,13.5361,"ICP-MS 2017/20xx-1"
"102",33301,"Bassin Chézine BO3","BO3_03","Cr",2017-09-25 12:00:00,2.9255,"ICP-MS 2017/20xx-1"
"103",33302,"Bassin Chézine BO3","BO3_03","Co",2017-09-25 12:00:00,2.0062,"ICP-MS 2017/20xx-1"
"104",33303,"Bassin Chézine BO3","BO3_03","Cd",2017-09-25 12:00:00,0.1413,"ICP-MS 2017/20xx-1"
