"","Parametre","Station","Site","count"
"1","1 (3.4 DiChloroPhényl) 3 MéthylUrée","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"2","1 (3.4 DiChloroPhényl) 3 MéthylUrée","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"3","1 (3.4 DiChloroPhényl) 3 MéthylUrée","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"4","1 (3.4 DiChloroPhényl) 3 MéthylUrée","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"5","1 (3.4 DiChloroPhényl) 3 MéthylUrée","VaB entree / VaB_03","Bassin Ville au Blanc",4
"6","1 (3.4 DiChloroPhényl) 3 MéthylUrée","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"7","1 (3.4 DiChloroPhényl) Urée (= DCPU)","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"8","1 (3.4 DiChloroPhényl) Urée (= DCPU)","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"9","1 (3.4 DiChloroPhényl) Urée (= DCPU)","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"10","1 (3.4 DiChloroPhényl) Urée (= DCPU)","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"11","1 (3.4 DiChloroPhényl) Urée (= DCPU)","VaB entree / VaB_03","Bassin Ville au Blanc",4
"12","1 (3.4 DiChloroPhényl) Urée (= DCPU)","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"13","1 (4 isopropylphényl) urée (=IPPU)","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"14","1 (4 isopropylphényl) urée (=IPPU)","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"15","1 (4 isopropylphényl) urée (=IPPU)","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"16","1 (4 isopropylphényl) urée (=IPPU)","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"17","1 (4 isopropylphényl) urée (=IPPU)","VaB entree / VaB_03","Bassin Ville au Blanc",4
"18","1 (4 isopropylphényl) urée (=IPPU)","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"19","2 amino N isopropylbenzamide","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"20","2 amino N isopropylbenzamide","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"21","2 amino N isopropylbenzamide","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"22","2 amino N isopropylbenzamide","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"23","2 amino N isopropylbenzamide","VaB entree / VaB_03","Bassin Ville au Blanc",4
"24","2 amino N isopropylbenzamide","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"25","2 Chloro N (2.6 DiEthylPhényl)","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"26","2 Chloro N (2.6 DiEthylPhényl)","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"27","2 Chloro N (2.6 DiEthylPhényl)","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"28","2 Chloro N (2.6 DiEthylPhényl)","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"29","2 Chloro N (2.6 DiEthylPhényl)","VaB entree / VaB_03","Bassin Ville au Blanc",4
"30","2 Chloro N (2.6 DiEthylPhényl)","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"31","2.4 D isopropyl ester","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"32","2.4 D isopropyl ester","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"33","2.4 D isopropyl ester","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"34","2.4 D isopropyl ester","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"35","2.4 D isopropyl ester","VaB entree / VaB_03","Bassin Ville au Blanc",4
"36","2.4 D isopropyl ester","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"37","2.6 Diéthylaniline","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"38","2.6 Diéthylaniline","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"39","2.6 Diéthylaniline","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"40","2.6 Diéthylaniline","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"41","2.6 Diéthylaniline","VaB entree / VaB_03","Bassin Ville au Blanc",4
"42","2.6 Diéthylaniline","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"43","2.6 Dichlorobenzamide","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"44","2.6 Dichlorobenzamide","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"45","2.6 Dichlorobenzamide","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"46","2.6 Dichlorobenzamide","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"47","2.6 Dichlorobenzamide","VaB entree / VaB_03","Bassin Ville au Blanc",4
"48","2.6 Dichlorobenzamide","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"49","24DME","BO3 - entrée / BO3_01","Bassin Chézine BO3",4
"50","24DME","BO3 - sortie / BO3_03","Bassin Chézine BO3",4
"51","24DME","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",1
"52","24DME","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",1
"53","24DME","VaB entree / VaB_03","Bassin Ville au Blanc",1
"54","24DME","VaB sortie / VaB_04","Bassin Ville au Blanc",1
"55","2metFla_f0.45um","Puits 7 / PDM_0022","Prairie de Mauves",1
"56","2metFla_f0.45um","PZ5 / PDM_0005","Prairie de Mauves",4
"57","2metFla_f0.45um","PZ6 / PDM_0006","Prairie de Mauves",1
"58","2metFla_f0.45um","PZ7 / PDM_0007","Prairie de Mauves",4
"59","2metFla_f0.45um","PZ8 / PDM_0008","Prairie de Mauves",1
"60","2metNap_f0.45um","Puits 7 / PDM_0022","Prairie de Mauves",1
"61","2metNap_f0.45um","PZ5 / PDM_0005","Prairie de Mauves",4
"62","2metNap_f0.45um","PZ6 / PDM_0006","Prairie de Mauves",1
"63","2metNap_f0.45um","PZ7 / PDM_0007","Prairie de Mauves",4
"64","2metNap_f0.45um","PZ8 / PDM_0008","Prairie de Mauves",1
"65","Acénaphtène","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"66","Acénaphtène","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"67","Acénaphtène","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"68","Acénaphtène","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"69","Acénaphtène","Puits 2 / PDM_0017","Prairie de Mauves",5
"70","Acénaphtène","Puits 4 / PDM_0019","Prairie de Mauves",1
"71","Acénaphtène","Puits 6 / PDM_0021","Prairie de Mauves",2
"72","Acénaphtène","Puits 7 / PDM_0022","Prairie de Mauves",1
"73","Acénaphtène","PZ11 / PDM_0080","Prairie de Mauves",3
"74","Acénaphtène","PZ16 / PDM_0088","Prairie de Mauves",2
"75","Acénaphtène","PZ5 / PDM_0005","Prairie de Mauves",14
"76","Acénaphtène","PZ5 Long / PDM_0086","Prairie de Mauves",2
"77","Acénaphtène","PZ6 / PDM_0006","Prairie de Mauves",8
"78","Acénaphtène","PZ7 / PDM_0007","Prairie de Mauves",14
"79","Acénaphtène","PZ8 / PDM_0008","Prairie de Mauves",6
"80","Acénaphtène","PZ9bis / PDM_0009","Prairie de Mauves",7
"81","Acénaphtène","VaB entree / VaB_03","Bassin Ville au Blanc",4
"82","Acénaphtène","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"83","Acénaphtène solide","BO3 - entrée / BO3_01","Bassin Chézine BO3",2
"84","Acénaphtène solide","BO3 - milieu / BO3_02","Bassin Chézine BO3",2
"85","Acénaphtène solide","BO3 - sortie / BO3_03","Bassin Chézine BO3",2
"86","Acénaphtène solide","C1 / PDM_0068","Prairie de Mauves",4
"87","Acénaphtène solide","C2 / PDM_0069","Prairie de Mauves",5
"88","Acénaphtène solide","C3 / PDM_0070","Prairie de Mauves",3
"89","Acénaphtène solide","F1 / PDM_0076","Prairie de Mauves",1
"90","Acénaphtène solide","F4 / PDM_0077","Prairie de Mauves",2
"91","Acénaphtène solide","Noue Brosse entrée / NB_02","Noue ZAC de la Brosse",1
"92","Acénaphtène solide","Noue Brosse milieu / NB_03","Noue ZAC de la Brosse",1
"93","Acénaphtène solide","Noue Brosse sortie / NB_01","Noue ZAC de la Brosse",1
"94","Acénaphtène solide","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",1
"95","Acénaphtène solide","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",1
"96","Acénaphtène solide","Noue_Dumont_Milieu / EcoQUA_017","Écoquartier Bottière-Chesnaie",1
"97","Acénaphtène solide","VaB entree / VaB_03","Bassin Ville au Blanc",2
"98","Acénaphtène solide","VaB milieu / VaB_05","Bassin Ville au Blanc",2
"99","Acénaphtène solide","VaB sortie / VaB_04","Bassin Ville au Blanc",2
"100","Acénaphtylène","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"101","Acénaphtylène","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"102","Acénaphtylène","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"103","Acénaphtylène","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"104","Acénaphtylène","Puits 2 / PDM_0017","Prairie de Mauves",5
"105","Acénaphtylène","Puits 4 / PDM_0019","Prairie de Mauves",1
"106","Acénaphtylène","Puits 6 / PDM_0021","Prairie de Mauves",2
"107","Acénaphtylène","Puits 7 / PDM_0022","Prairie de Mauves",1
"108","Acénaphtylène","PZ11 / PDM_0080","Prairie de Mauves",3
"109","Acénaphtylène","PZ16 / PDM_0088","Prairie de Mauves",2
"110","Acénaphtylène","PZ5 / PDM_0005","Prairie de Mauves",14
"111","Acénaphtylène","PZ5 Long / PDM_0086","Prairie de Mauves",2
"112","Acénaphtylène","PZ6 / PDM_0006","Prairie de Mauves",8
"113","Acénaphtylène","PZ7 / PDM_0007","Prairie de Mauves",14
"114","Acénaphtylène","PZ8 / PDM_0008","Prairie de Mauves",6
"115","Acénaphtylène","PZ9bis / PDM_0009","Prairie de Mauves",7
"116","Acénaphtylène","VaB entree / VaB_03","Bassin Ville au Blanc",4
"117","Acénaphtylène","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"118","Acénaphtylène solide","BO3 - entrée / BO3_01","Bassin Chézine BO3",2
"119","Acénaphtylène solide","BO3 - milieu / BO3_02","Bassin Chézine BO3",2
"120","Acénaphtylène solide","BO3 - sortie / BO3_03","Bassin Chézine BO3",2
"121","Acénaphtylène solide","C1 / PDM_0068","Prairie de Mauves",4
"122","Acénaphtylène solide","C2 / PDM_0069","Prairie de Mauves",5
"123","Acénaphtylène solide","C3 / PDM_0070","Prairie de Mauves",3
"124","Acénaphtylène solide","F1 / PDM_0076","Prairie de Mauves",1
"125","Acénaphtylène solide","F4 / PDM_0077","Prairie de Mauves",2
"126","Acénaphtylène solide","Noue Brosse entrée / NB_02","Noue ZAC de la Brosse",1
"127","Acénaphtylène solide","Noue Brosse milieu / NB_03","Noue ZAC de la Brosse",1
"128","Acénaphtylène solide","Noue Brosse sortie / NB_01","Noue ZAC de la Brosse",1
"129","Acénaphtylène solide","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",1
"130","Acénaphtylène solide","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",1
"131","Acénaphtylène solide","Noue_Dumont_Milieu / EcoQUA_017","Écoquartier Bottière-Chesnaie",1
"132","Acénaphtylène solide","VaB entree / VaB_03","Bassin Ville au Blanc",2
"133","Acénaphtylène solide","VaB milieu / VaB_05","Bassin Ville au Blanc",2
"134","Acénaphtylène solide","VaB sortie / VaB_04","Bassin Ville au Blanc",2
"135","Acétamipride","BO3 - entrée / BO3_01","Bassin Chézine BO3",8
"136","Acétamipride","BO3 - sortie / BO3_03","Bassin Chézine BO3",7
"137","Acétamipride","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"138","Acétamipride","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"139","Acétamipride","VaB entree / VaB_03","Bassin Ville au Blanc",4
"140","Acétamipride","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"141","Acétochlore","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"142","Acétochlore","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"143","Acétochlore","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"144","Acétochlore","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"145","Acétochlore","VaB entree / VaB_03","Bassin Ville au Blanc",4
"146","Acétochlore","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"147","Ace_f0.45um","Puits 7 / PDM_0022","Prairie de Mauves",1
"148","Ace_f0.45um","PZ5 / PDM_0005","Prairie de Mauves",4
"149","Ace_f0.45um","PZ6 / PDM_0006","Prairie de Mauves",1
"150","Ace_f0.45um","PZ7 / PDM_0007","Prairie de Mauves",4
"151","Ace_f0.45um","PZ8 / PDM_0008","Prairie de Mauves",1
"152","Acetamiprid solide","BO3 - entrée / BO3_01","Bassin Chézine BO3",2
"153","Acetamiprid solide","BO3 - milieu / BO3_02","Bassin Chézine BO3",2
"154","Acetamiprid solide","BO3 - sortie / BO3_03","Bassin Chézine BO3",2
"155","Acetamiprid solide","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",2
"156","Acetamiprid solide","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",2
"157","Acetamiprid solide","Noue_Dumont_Milieu / EcoQUA_017","Écoquartier Bottière-Chesnaie",2
"158","Acetamiprid solide","VaB entree / VaB_03","Bassin Ville au Blanc",2
"159","Acetamiprid solide","VaB milieu / VaB_05","Bassin Ville au Blanc",2
"160","Acetamiprid solide","VaB sortie / VaB_04","Bassin Ville au Blanc",2
"161","Acibenzolar s méthyl","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"162","Acibenzolar s méthyl","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"163","Acibenzolar s méthyl","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"164","Acibenzolar s méthyl","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"165","Acibenzolar s méthyl","VaB entree / VaB_03","Bassin Ville au Blanc",4
"166","Acibenzolar s méthyl","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"167","Aclonifen","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"168","Aclonifen","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"169","Aclonifen","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"170","Aclonifen","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"171","Aclonifen","VaB entree / VaB_03","Bassin Ville au Blanc",4
"172","Aclonifen","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"173","Acrinathrine","BO3 - entrée / BO3_01","Bassin Chézine BO3",9
"174","Acrinathrine","BO3 - sortie / BO3_03","Bassin Chézine BO3",9
"175","Acrinathrine","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",5
"176","Acrinathrine","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",5
"177","Acrinathrine","VaB entree / VaB_03","Bassin Ville au Blanc",4
"178","Acrinathrine","VaB sortie / VaB_04","Bassin Ville au Blanc",4
"179","Acy_f0.45um","Puits 7 / PDM_0022","Prairie de Mauves",1
"180","Acy_f0.45um","PZ5 / PDM_0005","Prairie de Mauves",4
"181","Acy_f0.45um","PZ6 / PDM_0006","Prairie de Mauves",1
"182","Acy_f0.45um","PZ7 / PDM_0007","Prairie de Mauves",4
"183","Acy_f0.45um","PZ8 / PDM_0008","Prairie de Mauves",1
"184","Ag","La Loire / PDM_0066","Prairie de Mauves",2
"185","Ag","Puits 2 / PDM_0017","Prairie de Mauves",4
"186","Ag","Puits 4 / PDM_0019","Prairie de Mauves",5
"187","Ag","Puits 5 / PDM_0020","Prairie de Mauves",4
"188","Ag","Puits 7 / PDM_0022","Prairie de Mauves",5
"189","Ag","PZ1 / PDM_0001","Prairie de Mauves",4
"190","Ag","PZ4 / PDM_0004","Prairie de Mauves",4
"191","Ag","PZ5 / PDM_0005","Prairie de Mauves",6
"192","Ag","PZ6 / PDM_0006","Prairie de Mauves",5
"193","Ag","PZ7 / PDM_0007","Prairie de Mauves",1
"194","Ag","PZ8 / PDM_0008","Prairie de Mauves",1
"195","Ag_f0.45um","La Loire / PDM_0066","Prairie de Mauves",1
"196","Ag_f0.45um","Puits 2 / PDM_0017","Prairie de Mauves",2
"197","Ag_f0.45um","Puits 4 / PDM_0019","Prairie de Mauves",3
"198","Ag_f0.45um","Puits 5 / PDM_0020","Prairie de Mauves",2
"199","Ag_f0.45um","Puits 7 / PDM_0022","Prairie de Mauves",3
"200","Ag_f0.45um","PZ1 / PDM_0001","Prairie de Mauves",2
"201","Ag_f0.45um","PZ4 / PDM_0004","Prairie de Mauves",2
"202","Ag_f0.45um","PZ5 / PDM_0005","Prairie de Mauves",4
"203","Ag_f0.45um","PZ6 / PDM_0006","Prairie de Mauves",3
"204","Ag_f0.45um","PZ7 / PDM_0007","Prairie de Mauves",1
"205","Ag_f0.45um","PZ8 / PDM_0008","Prairie de Mauves",1
"206","Ag_F0.45um","La Loire / PDM_0066","Prairie de Mauves",1
"207","Ag_F0.45um","Puits 2 / PDM_0017","Prairie de Mauves",2
"208","Ag_F0.45um","Puits 4 / PDM_0019","Prairie de Mauves",2
"209","Ag_F0.45um","Puits 5 / PDM_0020","Prairie de Mauves",2
"210","Ag_F0.45um","Puits 7 / PDM_0022","Prairie de Mauves",3
"211","Ag_F0.45um","PZ1 / PDM_0001","Prairie de Mauves",2
"212","Ag_F0.45um","PZ4 / PDM_0004","Prairie de Mauves",2
"213","Ag_F0.45um","PZ5 / PDM_0005","Prairie de Mauves",3
"214","Ag_F0.45um","PZ6 / PDM_0006","Prairie de Mauves",3
"215","Ag_F0.45um","PZ7 / PDM_0007","Prairie de Mauves",1
"216","Ag_F0.45um","PZ8 / PDM_0008","Prairie de Mauves",1
"217","Ag_f3kDa","La Loire / PDM_0066","Prairie de Mauves",1
"218","Ag_f3kDa","Puits 2 / PDM_0017","Prairie de Mauves",2
"219","Ag_f3kDa","Puits 4 / PDM_0019","Prairie de Mauves",2
"220","Ag_f3kDa","Puits 5 / PDM_0020","Prairie de Mauves",2
"221","Ag_f3kDa","Puits 7 / PDM_0022","Prairie de Mauves",3
"222","Ag_f3kDa","PZ1 / PDM_0001","Prairie de Mauves",2
"223","Ag_f3kDa","PZ4 / PDM_0004","Prairie de Mauves",2
"224","Ag_f3kDa","PZ5 / PDM_0005","Prairie de Mauves",3
"225","Ag_f3kDa","PZ6 / PDM_0006","Prairie de Mauves",3
"226","Ag_f3kDa","PZ7 / PDM_0007","Prairie de Mauves",1
"227","Ag_f3kDa","PZ8 / PDM_0008","Prairie de Mauves",1
"228","Ag_f8um","La Loire / PDM_0066","Prairie de Mauves",1
"229","Ag_f8um","Puits 2 / PDM_0017","Prairie de Mauves",2
"230","Ag_f8um","Puits 4 / PDM_0019","Prairie de Mauves",3
"231","Ag_f8um","Puits 5 / PDM_0020","Prairie de Mauves",2
"232","Ag_f8um","Puits 7 / PDM_0022","Prairie de Mauves",3
"233","Ag_f8um","PZ1 / PDM_0001","Prairie de Mauves",2
"234","Ag_f8um","PZ4 / PDM_0004","Prairie de Mauves",2
"235","Ag_f8um","PZ5 / PDM_0005","Prairie de Mauves",4
"236","Ag_f8um","PZ6 / PDM_0006","Prairie de Mauves",3
"237","Ag_f8um","PZ7 / PDM_0007","Prairie de Mauves",1
"238","Ag_f8um","PZ8 / PDM_0008","Prairie de Mauves",1
"239","Ag_F8um","La Loire / PDM_0066","Prairie de Mauves",1
"240","Ag_F8um","Puits 2 / PDM_0017","Prairie de Mauves",2
"241","Ag_F8um","Puits 4 / PDM_0019","Prairie de Mauves",2
"242","Ag_F8um","Puits 5 / PDM_0020","Prairie de Mauves",2
"243","Ag_F8um","Puits 7 / PDM_0022","Prairie de Mauves",3
"244","Ag_F8um","PZ1 / PDM_0001","Prairie de Mauves",2
"245","Ag_F8um","PZ4 / PDM_0004","Prairie de Mauves",2
"246","Ag_F8um","PZ5 / PDM_0005","Prairie de Mauves",3
"247","Ag_F8um","PZ6 / PDM_0006","Prairie de Mauves",3
"248","Ag_F8um","PZ7 / PDM_0007","Prairie de Mauves",1
"249","Ag_F8um","PZ8 / PDM_0008","Prairie de Mauves",1
"250","Al","Bassin Agena / AN_008","Agglomération Nantaise",2
"251","Al","Bassin Bottière Sud / EcoQUA_013","Écoquartier Bottière-Chesnaie",2
"252","Al","Bassin Maison Neuve 2 / AN_009","Agglomération Nantaise",2
"253","Al","Bassin Pierre Anne / AN_001","Agglomération Nantaise",2
"254","Al","Bassin Scott / AN_007","Agglomération Nantaise",1
"255","Al","Bassin ZAC Minais / AN_003","Agglomération Nantaise",2
"256","Al","BO3 - entrée / BO3_01","Bassin Chézine BO3",16
"257","Al","BO3 - sortie / BO3_03","Bassin Chézine BO3",13
"258","Al","Canal / EcoQUA_004","Écoquartier Bottière-Chesnaie",2
"259","Al","Etang 1 / PDM_0067","Prairie de Mauves",2
"260","Al","F_RTE / PDM_0065","Prairie de Mauves",1
"261","Al","La Loire / PDM_0066","Prairie de Mauves",5
"262","Al","Noue après déversoir / EcoQUA_006","Écoquartier Bottière-Chesnaie",1
"263","Al","Noue Brosse entrée / NB_02","Noue ZAC de la Brosse",1
"264","Al","Noue Brosse sortie / NB_01","Noue ZAC de la Brosse",1
"265","Al","Noue Vertonne / AN_006","Agglomération Nantaise",1
"266","Al","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",9
"267","Al","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",10
"268","Al","Puits 2 / PDM_0017","Prairie de Mauves",15
"269","Al","Puits 4 / PDM_0019","Prairie de Mauves",9
"270","Al","Puits 5 / PDM_0020","Prairie de Mauves",9
"271","Al","Puits 6 / PDM_0021","Prairie de Mauves",4
"272","Al","Puits 7 / PDM_0022","Prairie de Mauves",10
"273","Al","PZ1 / PDM_0001","Prairie de Mauves",5
"274","Al","PZ11 / PDM_0080","Prairie de Mauves",6
"275","Al","PZ16 / PDM_0088","Prairie de Mauves",4
"276","Al","PZ2 / PDM_0002","Prairie de Mauves",4
"277","Al","PZ4 / PDM_0004","Prairie de Mauves",5
"278","Al","PZ5 / PDM_0005","Prairie de Mauves",19
"279","Al","PZ5 Long / PDM_0086","Prairie de Mauves",4
"280","Al","PZ6 / PDM_0006","Prairie de Mauves",10
"281","Al","PZ7 / PDM_0007","Prairie de Mauves",19
"282","Al","PZ8 / PDM_0008","Prairie de Mauves",6
"283","Al","PZ9bis / PDM_0009","Prairie de Mauves",11
"284","Al","Ruisseau Amont / EcoQUA_002","Écoquartier Bottière-Chesnaie",2
"285","Al","Ruisseau Aval / EcoQUA_003","Écoquartier Bottière-Chesnaie",2
"286","Al","Toit école / EcoQUA_001","Écoquartier Bottière-Chesnaie",4
"287","Al","Toiture Nantes Habitat / EcoQUA_005","Écoquartier Bottière-Chesnaie",2
"288","Al","VaB entree / VaB_03","Bassin Ville au Blanc",16
"289","Al","VaB milieu / VaB_05","Bassin Ville au Blanc",1
"290","Al","VaB sortie / VaB_04","Bassin Ville au Blanc",13
"291","Al_CaCl2","Parcelle de Vallet / Autre_LEE_02","Autres sites LEE",28
"292","Al_f0.45um","Bassin Agena / AN_008","Agglomération Nantaise",2
"293","Al_f0.45um","Bassin Bottière Sud / EcoQUA_013","Écoquartier Bottière-Chesnaie",2
"294","Al_f0.45um","Bassin Maison Neuve 2 / AN_009","Agglomération Nantaise",2
"295","Al_f0.45um","Bassin Pierre Anne / AN_001","Agglomération Nantaise",2
"296","Al_f0.45um","Bassin Scott / AN_007","Agglomération Nantaise",1
"297","Al_f0.45um","Bassin ZAC Minais / AN_003","Agglomération Nantaise",2
"298","Al_f0.45um","BO3 - entrée / BO3_01","Bassin Chézine BO3",15
"299","Al_f0.45um","BO3 - sortie / BO3_03","Bassin Chézine BO3",13
"300","Al_f0.45um","Canal / EcoQUA_004","Écoquartier Bottière-Chesnaie",2
"301","Al_f0.45um","Etang 1 / PDM_0067","Prairie de Mauves",2
"302","Al_f0.45um","F_RTE / PDM_0065","Prairie de Mauves",1
"303","Al_f0.45um","La Loire / PDM_0066","Prairie de Mauves",4
"304","Al_f0.45um","Noue après déversoir / EcoQUA_006","Écoquartier Bottière-Chesnaie",1
"305","Al_f0.45um","Noue Brosse entrée / NB_02","Noue ZAC de la Brosse",1
"306","Al_f0.45um","Noue Brosse sortie / NB_01","Noue ZAC de la Brosse",1
"307","Al_f0.45um","Noue Vertonne / AN_006","Agglomération Nantaise",1
"308","Al_f0.45um","Noue_Dumont_Amont / EcoQUA_015","Écoquartier Bottière-Chesnaie",9
"309","Al_f0.45um","Noue_Dumont_Aval / EcoQUA_010","Écoquartier Bottière-Chesnaie",10
"310","Al_f0.45um","Puits 2 / PDM_0017","Prairie de Mauves",13
"311","Al_f0.45um","Puits 4 / PDM_0019","Prairie de Mauves",7
"312","Al_f0.45um","Puits 5 / PDM_0020","Prairie de Mauves",7
"313","Al_f0.45um","Puits 6 / PDM_0021","Prairie de Mauves",4
"314","Al_f0.45um","Puits 7 / PDM_0022","Prairie de Mauves",8
"315","Al_f0.45um","PZ1 / PDM_0001","Prairie de Mauves",3
"316","Al_f0.45um","PZ11 / PDM_0080","Prairie de Mauves",6
"317","Al_f0.45um","PZ16 / PDM_0088","Prairie de Mauves",4
"318","Al_f0.45um","PZ2 / PDM_0002","Prairie de Mauves",4
"319","Al_f0.45um","PZ4 / PDM_0004","Prairie de Mauves",3
"320","Al_f0.45um","PZ5 / PDM_0005","Prairie de Mauves",17
"321","Al_f0.45um","PZ5 Long / PDM_0086","Prairie de Mauves",4
"322","Al_f0.45um","PZ6 / PDM_0006","Prairie de Mauves",8
"323","Al_f0.45um","PZ7 / PDM_0007","Prairie de Mauves",20
"324","Al_f0.45um","PZ8 / PDM_0008","Prairie de Mauves",6
"325","Al_f0.45um","PZ9bis / PDM_0009","Prairie de Mauves",11
"326","Al_f0.45um","Ruisseau Amont / EcoQUA_002","Écoquartier Bottière-Chesnaie",2
"327","Al_f0.45um","Ruisseau Aval / EcoQUA_003","Écoquartier Bottière-Chesnaie",2
"328","Al_f0.45um","Toit école / EcoQUA_001","Écoquartier Bottière-Chesnaie",4
"329","Al_f0.45um","Toiture Nantes Habitat / EcoQUA_005","Écoquartier Bottière-Chesnaie",2
"330","Al_f0.45um","VaB entree / VaB_03","Bassin Ville au Blanc",16
"331","Al_f0.45um","VaB milieu / VaB_05","Bassin Ville au Blanc",1
"332","Al_f0.45um","VaB sortie / VaB_04","Bassin Ville au Blanc",13
"333","Al_F0.45um","BO3 - entrée / BO3_01","Bassin Chézine BO3",6
