"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"1",39274,"Bassin Chézine BO3","BO3_03","Fla_sol",2017-05-10 12:20:00,77,"GC/MS/MS_Sol"
"2",39303,"Bassin Chézine BO3","BO3_01","Fla_sol",2017-05-10 12:55:00,41,"GC/MS/MS_Sol"
"3",39996,"Bassin Chézine BO3","BO3_02","Fla_sol",2017-05-10 12:34:00,29,"GC/MS/MS_Sol"
"4",46239,"Bassin Chézine BO3","BO3_03","Fla_sol",2018-06-27 00:00:00,8,"GC/MS/MS_Sol"
"5",46268,"Bassin Chézine BO3","BO3_01","Fla_sol",2018-06-27 00:00:00,14.04,"GC/MS/MS_Sol"
"6",46303,"Bassin Chézine BO3","BO3_02","Fla_sol",2018-06-27 00:00:00,7.75,"GC/MS/MS_Sol"
