Date;Time;Valeur[l/s];État de la valeur;Interpolation;valid[%];Qualité;Interpolation;invalid[%];Qualité;Interpolation;missing[%];Qualité;Interpolation;Tags;Comments
23/05/201620:00:00;20:00:00;0.303;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
23/05/201621:00:00;21:00:00;0.328;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
23/05/201622:00:00;22:00:00;0.342;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
23/05/201623:00:00;23:00:00;0.336;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201600:00:00;00:00:00;2.059;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201601:00:00;01:00:00;0.423;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201602:00:00;02:00:00;1.327;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201603:00:00;03:00:00;1.999;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201604:00:00;04:00:00;3.124;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201605:00:00;05:00:00;18.740;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201606:00:00;06:00:00;16.617;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201607:00:00;07:00:00;18.422;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201608:00:00;08:00:00;23.465;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201609:00:00;09:00:00;2.850;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201610:00:00;10:00:00;3.662;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201611:00:00;11:00:00;24.997;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201612:00:00;12:00:00;12.042;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201613:00:00;13:00:00;2.750;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201614:00:00;14:00:00;9.931;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
24/05/201615:00:00;15:00:00;7.492;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
